"abstract","label"
"An estimate of the maximal computing power available to advanced extraterrestrial or future (post)human civilizations is presented. It is shown that the fundamental thermodynamical considerations may lead to a quantitative estimate of the largest quantity of information to be processed by conceivable computing devices. This issue is interesting from the point of view of physical eschatology, as well as general futurological topics, like the degree of confidence in long-term physical predictions or viability of the large-scale simulations of complex systems.","astronomy"
"We have obtained high-dispersion spectroscopy and BV photometry of two F-type eclipsing binaries, HD 71636 and V1022 Cas, plus the A-type system OT And. Transiting Exoplanet Survey Satellite measurements for each system have also been incorporated. The photometry of HD 71636 enables a more consistent picture of this 5.01331 days, circular-orbit system to emerge. The F2 V primary has a mass of 1.506 ± 0.002 M ☉ and a radius of 1.583 ± 0.024 R ☉. The mass of the F5 V secondary is 1.282 ± 0.002 M ☉, and its radius is 1.314 ± 0.030 R ☉. Comparison with evolutionary models of the Modules for Experiments in Stellar Astrophysics (MESA) series results in a good fit for a composition of [Fe/H] = 0.12 and an age of 0.9 Gyr. For the F6 V stars of V1022 Cas, our analysis produces a period of 12.15616 days and an eccentricity of 0.312. The two components have nearly equal masses of 1.626 ± 0.001 M ☉ and 1.607 ± 0.001 M ☉. The radii of the primary and secondary are 2.570 ± 0.021 R ☉ and 2.445 ± 0.022 R ☉, respectively. Comparison with the MESA evolutionary models results in [Fe/H] = 0.08 and an age of 1.87 Gyr. OT And consists of a pair of similar mid-A stars that have an orbital period of 20.85292 days and an eccentricity of 0.215. The primary has a mass of 2.253 ± 0.014 M ☉ and a radius of 3.167 ± 0.013 R ☉. The corresponding parameters for the secondary are 2.147 ± 0.011 M ☉ and 2.649 ± 0.015 R ☉, respectively. The MESA series models produce a best fit for this system with [Fe/H] = 0.10 and an age of 0.675 Gyr. The total apsidal motion in both eccentric systems is less than 1.°5 century−1.","astronomy"
"We present a (sub)millimeter line survey of the methanol maser outflow located in the massive star-forming region DR21(OH) carried out with the Submillimeter Array (SMA) at 217/227 GHz and 337/347 GHz. We find transitions from several molecules toward the maser outflow such as CH3OH, H2CS, C17O, H13CO+, and C34S. However, with the present observations, we cannot discard the possibility that some of the observed species such as C17O, C34S, and H2CS, might be instead associated with the compact and dusty continuum sources located in the MM2 region. Given that most of transitions correspond to methanol lines, we have computed a rotational diagram with CASSIS and an LTE synthetic spectra with XCLASS for the detected methanol lines in order to estimate the rotational temperature and column density in the small solid angle of the outflow where enough lines are present. We obtain a rotational temperature of 28 ± 2.5 K and a column density of 6.0 ± 0.9 × 1015 cm−2. These values are comparable to those column densities/rotational temperatures reported in outflows emanating from low-mass stars. Extreme and moderate physical conditions to excite the maser and thermal emission coexist within the CH3OH flow. Finally, we do not detect any complex molecules associated with the flow, e.g., CH3OCHO, (CH3)2CO, and CH3CH2CN.","astronomy"
"Concurrently with the maser flare observed in W51-North during the 3 month monitoring of H2O, NH3, and CH3OH maser variability from 2020 January to April using the Tianma 65 m Radio Telescope, we conducted Very Large Array mappings for these three maser species across the entirety of W51A region. After finding the ring-shaped H2O maser which might trace the disk surrounding the protostar residing in W51-North, the NH3 (9,6) maser delineated a jet which might be illuminated in the luminosity outburst possibly caused by the infalling streamer’s interaction with the protostar’s disk. An analysis of the comprehensive distribution of maser spots allowed us to affirm that W51N4 or ALMAmm31 serves as the primary source of the Lacy jet. Furthermore, we observed that class I methanol maser spots may extend beyond the locations of the H2O and NH3 (9,6) masers within the outflow. Additionally, emissions from other NH3 maser transitions coincided with specific 1.3 mm continuum sources. The arrangement of H2O maser spots in the vicinity of W51e2-E potentially indicates episodic accretions in this source. Combining the data from the Atacama Large Millimeter/submillimeter Array data archive for W51-North, W51e2, and W51e8, we have discovered that the H2O, NH3, and CH3OH masers, as well as the HC3N and SiO emissions are found to be good tools for tracing outflow in this work for W51A.","astronomy"
"The first detected interstellar object, ‘Oumuamua, which passed within 0.25 au of the Sun on 2017 September 9, was presumably ejected from a stellar system. We use its newly determined non-Keplerian trajectory together with the reconstructed Galactic orbits of 7 million stars from Gaia DR2 to identify past close encounters. Such an “encounter” could reveal the home system from which ‘Oumuamua was ejected. The closest encounter, at 0.60 pc (0.53–0.67 pc, 90% confidence interval), was with the M2.5 dwarf HIP 3757 at a relative velocity of 24.7 , 1 Myr ago. A more distant encounter (1.6 pc) but with a lower encounter (ejection) velocity of 10.7 was with the G5 dwarf HD 292249, 3.8 Myr ago. Two more stars have encounter distances and velocities intermediate to these. The encounter parameters are similar across six different non-gravitational trajectories for ‘Oumuamua. The ejection of ‘Oumuamua by scattering from a giant planet in one of the systems is plausible, but requires a rather unlikely configuration to achieve the high velocities found. A binary star system is more likely to produce the observed velocities. None of the four home candidates have published exoplanets or are known to be binaries. Given that the 7 million stars in Gaia DR2 with 6D phase space information is just a small fraction of all stars for which we can eventually reconstruct orbits, it is a priori unlikely that our current search would find ‘Oumuamua’s home star system. As ‘Oumuamua is expected to pass within 1 pc of about 20 stars and brown dwarfs every Myr, the plausibility of a home system also depends on an appropriate (low) encounter velocity.","astronomy"
"In the Nice model of Solar System formation, Uranus and Neptune undergo an orbital upheaval, sweeping through a planetesimal disk. The region of the disk from which material is accreted by the ice giants during this phase of their evolution has not previously been identified. We perform direct N-body orbital simulations of the four giant planets to determine the amount and origin of solid accretion during this orbital upheaval. We find that the ice giants undergo an extreme bombardment event, with collision rates as high as ∼3 per hour assuming km-sized planetesimals, increasing the total planet mass by up to ∼0.35%. In all cases, the initially outermost ice giant experiences the largest total enhancement. We determine that, for some plausible planetesimal properties, the resulting atmospheric enrichment could potentially produce sufficient latent heat to alter the planetary cooling timescale according to existing models. Our findings suggest that substantial accretion during this phase of planetary evolution may have been sufficient to impact the atmospheric composition and thermal evolution of the ice giants, motivating future work on the fate of deposited solid material.","astronomy"
"This paper presents a combined method of Gaussian mixture model and random forest to compute membership probabilities of stars by using large, high-dimensional data sets. A significant advantage of this method is that it allows us to easily identify likely cluster members in large data sets starting from small training samples. As a benchmark, we select 40318 stars in the field of the open cluster NGC 6405 from theGaiaData Release 2 (Gaia-DR2) by means of all five astrometric (positions, proper motions, and parallax) and photometric parameters. We use this combined method to determine likely cluster members in an eleven-dimensional parameter space. A total number of 518 high-probability (≥0.6) memberships are obtained, and the mean parallax and proper motion of the cluster are determined to be 2.171 ± 0.005 mas (461 ± 1 pc) and () = (−1.357 ± 0.023,−5.823 ± 0.020) mas yr−1, respectively. In addition, we quantitatively evaluate the relative importance of the parameters for membership determination and find that colors and magnitudes cannot be ignored in membership determination when using the RF method. Our results show that this combined method exhibits good performance in handling arbitrary high-dimensional and large data sets, such asGaia-DR2, and it can also be used to investigate other open clusters.","astronomy"
"We collected observational data on 781 Wolf–Rayet (WR) galaxies from the literature to photometrically study their infrared properties measured by the 2MASS, WISE, IRAS, AKARI, and Herschel missions. It is found that in the 1–5 μm range the radiations of WR galaxies are dominated by the free–free emissions from the stellar winds and the circumstellar dust from the late-type stars in the host galaxy. In the 5–22 μm range, the radiation of WR galaxies is dominated by the free–free emissions and the synchrotron radiation from the central active galactic nucleus (AGN; but not always present). In the 22–140 μm range, the radiations of WR galaxies are dominated by the free–free emissions and the star formation/starburst activities. In the 250–500 μm range, the radiation of WR galaxies is dominated by the free–free emissions. In addition, the comparison with the non-WR galaxies is made. It is shown that some star formation WR galaxies have redder near-infrared colors than non-WR star-forming galaxies probably due to the gas emission in the near-infrared. In the 2–5 μm region WR galaxies have redder colors due to the thermal emission from circumstellar dust of late-type stars and the enhanced gas emission. In the 5–22 μm region, both WR galaxies and non-WR galaxies have similar behavior, indicative of having similar free–free emission as the dominant radiation. In the 25–140 μm region, both types of galaxies also have similar behavior, indicative of having free–free emission from the stellar winds or the thermal radiation from the starburst/star formation as the dominant radiation.","astronomy"
"We present photometric data of the classical nova, V723 Cas (Nova Cas 1995), over a span of 10 years (2006 through 2016) taken with the 0.9 m telescope at Lowell Observatory, operated as the National Undergraduate Research Observatory (NURO) on Anderson Mesa near Flagstaff, Arizona. A photometric analysis of the data produced light curves in the optical bands (Bessel B, V, and R filters). The data analyzed here reveal an asymmetric light curve (steep rise to maximum, followed by a slow decline to minimum), the overall structure of which exhibits pronounced evolution including a decrease in magnitude from year to year, at the rate of ∼0.15 mag yr−1. We model these data with an irradiated secondary and an accretion disk with a hot spot using the eclipsing binary modeling program Nightfall. We find that we can model reasonably well each season of observation by changing very few parameters. The longitude of the hot spot on the disk and the brightness of the irradiated spot on the companion are largely responsible for the majority of the observed changes in the light curve shape and amplitude until 2009. After that, a decrease in the temperature of the white dwarf is required to model the observed light curves. This is supported by Swift/X-Ray Telescope observations, which indicate that nuclear fusion has ceased, and that V723 Cas is no longer detectable in the X-ray.","astronomy"
"We report precise radial velocity (RV) measurements of WASP-47, a G star that hosts three transiting planets in close proximity (a hot Jupiter, a super-Earth, and a Neptune-sized planet) and a non-transiting planet at 1.4 au. Through a joint analysis of previously published RVs and our own Keck-HIRES RVs, we significantly improve the planet mass and bulk density measurements. For the super-Earth WASP-47e (P = 0.79 days), we measure a mass of M ⊕, and a bulk density of g cm−3, consistent with a rocky composition. For the hot Jupiter WASP-47b (P = 4.2 days), we measure a mass of M ⊕ (1.12 ± 0.04 M Jup) and constrain its eccentricity to at 3σ confidence. For the Neptune-size planet WASP-47d (P = 9.0 days), we measure a mass of M ⊕ and a bulk density of g cm−3, suggesting that it has a thick H/He envelope. For the outer non-transiting planet, we measure a minimum mass of M ⊕ (1.29 ± 0.06 M Jup), an orbital period of days, and an orbital eccentricity of . Our new measurements are consistent with but two to four times more precise than previous mass measurements.","astronomy"
"A modified version of the folded aplanatic Gregory telescope equipped with a spherical two-lens corrector is proposed for observations requiring a high signal-to-noise ratio. The basic telescope model has an aperture of 400 mm (f/3.0), its field of view is 3.°0, the linear obscuration is 0.12, and the distortion is less than 0.5%. The focal surface has a spherical shape, and achieving a plane field requires an increase in the number of lenses in the corrector. The images of stars in the integrated wavelength range 0.35–1.0 μm are close to the diffraction-limited ones (D 80 = 5.9–8.2 μm = 1.″0–1.″4). The system is free from direct background illumination, and both the lens corrector and the light detector are protected from cosmic particles.","astronomy"
"Eclipsing binaries are instrumental to our understanding of fundamental stellar parameters. With the arrival of ultra-wide cameras and large area photometric monitoring programs, numerous eclipsing binaries systems have been reported photometrically. However, due to the expensive efforts to follow up spectroscopically, most of their basic properties remain unexplored. In this paper, we exploited the eclipsing binary light curves delivered by the all-sky catalina sky surveys, in tandem with the single shot spectroscopic survey from SDSS, and identify a double-lined M-dwarf eclipsing binary SDSSJ1156−0207. Because this system is very faint (V = 15.89 mag), we obtained follow-up radial velocity measurements using the Gemini Multi-object Spectrograph on board the Gemini North Telescope. This provides us with a spectral resolution R ∼ 4000, enabling us to determine the mass and radius of each of the stellar components when jointly fitted with light curve. Our best-fit results indicate that both components are from the M dwarf, with the primary component being and , while the secondary component is and . High-resolution spectroscopic observations in the future will help pin down the stellar parameters, providing insights into the stellar models at low-mass regimes, as well as sheding light on the internal structure of close-in low-mass objects and their inflation mechanism.","astronomy"
"The link between the International Celestial Reference Frame at radio wavelength and the forthcoming Gaia optical reference frame is a mandatory task after the completion of the Gaia mission. Starting from the provisional reference frame in which Gaia astrometric solutions were obtained, we discuss the ways to correct the residual rotation and acceleration effects and investigate three potential options for linking the two frames realized by extragalactic sources. We have estimated the accuracy for the frame alignment assuming different astrometric models of quasar proper motions observed by very long baseline interferometry (VLBI). Using about 500,000 high-precision proper motions of extragalactic sources, the residual rotation of the Gaia reference frame is evaluated under 1 μas yr−1. In view of its favorable properties, Gaia should be given priority to be considered as the future fundamental reference frame that is consistent with the principle of the International Celestial Reference System. The VLBI reference frame can be linked to Gaia based on thousands of common quasars with an accuracy of 10 μas for each axis.","astronomy"
"One source of error in high-precision radial velocity measurements of exoplanet host stars is chromatic change in Earth’s atmospheric transmission during observations. Mitigation of this error requires that the photon-weighted barycentric correction be applied as a function of wavelength across the stellar spectrum. We have designed a system for chromatic photon-weighted barycentric corrections with the EXtreme PREcision Spectrograph and present results from the first year of operations, based on radial velocity measurements of more than 103 high-resolution stellar spectra. For observation times longer than 250 s, we find that if the chromatic component of the barycentric corrections is ignored, a range of radial velocity errors up to 1 m s−1 can be incurred with cross-correlation, depending on the nightly atmospheric conditions. For this distribution of errors, the standard deviation is 8.4 cm s−1 for G-type stars, 8.5 cm s−1 for K-type stars, and 2.1 cm s−1 for M-type stars. This error is reduced to well-below the instrumental and photon-noise limited floor by frequent flux sampling of the observed star with a low-resolution exposure meter spectrograph.","astronomy"
